id;word
1;政变
2;北京.*出事了
3;出事了.*北京
4;跑官
5;内蒙古.*抗议
6;抗议.*内蒙古
7;天安.*事件
8;事件.*天安
9;1989.*天安門
10;天安門.*1989
11;平反64
12;89动乱
13;89.*学生动乱
14;学生动乱.*89
15;89.*学生运动
16;学生运动.*89
17;64.*学生运动
18;学生运动.*64
19;64.*镇压
20;镇压.*64
21;64.*真相
22;真相.*64
23;活摘器官
24;群体灭绝
25;张宏堡
26;地下教会
27;冤民大同盟
28;达赖
29;藏独
30;西藏流亡政府
31;台湾.*独立联盟
32;独立联盟.*台湾
33;新疆.*独立
34;独立.*新疆
35;女保镖
36;玩ps
37;文字狱
38;一党专政
39;一党独裁
40;新闻封锁
41;老人政治
42;反社会
43;维权人士
44;维权律师
45;异见人士
46;异议人士
47;共铲党
48;共残党
49;共惨党
50;共匪
